customer_id,total_revenue,hist_clv,aov,annual_freq,churn_probability,pred_clv,value_tier
CUST00634,94754.83,52015.89,9475.483,120.0,0.24366294707613662,928340.2145671258,Top 10%
CUST01684,53405.67,31111.72,7629.381428571428,84.0,0.24366294707613662,523230.64847355126,Top 10%
CUST00264,52082.04,25606.54,10416.408,60.0,0.24366294707613662,510262.6661743114,Top 10%
CUST00163,50889.68,28616.55,10177.936,60.0,0.24366294707613662,498580.77367087646,Top 10%
CUST01272,51826.69,28174.550000000003,6478.33625,81.16666666666666,0.24366294707613662,429304.813295647,Top 10%
CUST00217,43264.51,22823.98,8652.902,60.0,0.24366294707613662,423874.7987468455,Top 10%
CUST01948,50649.97,28330.68,8441.661666666667,59.22972972972973,0.24366294707613662,408218.09730588127,Top 10%
CUST01163,41385.85,21923.28,5173.23125,96.0,0.24366294707613662,405469.02853440697,Top 10%
CUST01155,52669.13,32207.46,7524.161428571429,65.5576923076923,0.24366294707613662,402722.89796439453,Top 10%
CUST00376,40660.08,19385.91,4517.786666666667,108.0,0.24366294707613662,398358.45192816557,Top 10%
CUST01472,40470.68,23598.2,6745.113333333334,72.0,0.24366294707613662,396502.84586946643,Top 10%
CUST00339,40038.36,22632.54,8007.6720000000005,60.0,0.24366294707613662,392267.2829798315,Top 10%
CUST00447,48527.82,25061.420000000002,6932.545714285714,69.10135135135135,0.24366294707613662,391114.4339631848,Top 10%
CUST00559,38904.28,21168.29,12968.093333333332,36.0,0.24366294707613662,381156.37633226236,Top 10%
CUST00155,38388.1,20988.010000000002,5484.0142857142855,84.0,0.24366294707613662,376099.21299868595,Top 10%
CUST00768,45268.54,21523.190000000002,11317.135,40.58333333333333,0.24366294707613662,374980.5768584976,Top 10%
CUST01841,51384.18,29669.030000000002,8564.03,53.451219512195124,0.24366294707613662,373732.06402893446,Top 10%
CUST00168,43047.33,17880.579999999998,7174.555,62.614285714285714,0.24366294707613662,366769.2870035772,Top 10%
CUST01345,42487.88,22172.739999999998,7081.313333333333,62.614285714285714,0.24366294707613662,362002.6945665049,Top 10%
CUST01081,36885.770000000004,18002.250000000004,7377.154,60.0,0.24366294707613662,361380.45560604834,Top 10%
CUST01387,53261.85,28025.61,8876.975,49.80681818181818,0.24366294707613662,360976.02348112146,Top 10%
CUST00178,52214.92,28813.870000000003,17404.97333333333,24.90340909090909,0.24366294707613662,353880.5765850205,Top 10%
CUST00040,69902.87,40156.86,5825.239166666666,71.85245901639345,0.24366294707613662,341727.5222446942,Top 10%
CUST01892,34344.85,17940.89,6868.969999999999,60.0,0.24366294707613662,336486.3344515076,Top 10%
CUST01875,34315.17,20909.69,8578.7925,48.0,0.24366294707613662,336195.55098887725,Top 10%
CUST01729,33617.93,14228.99,5602.988333333334,72.0,0.24366294707613662,329364.490965818,Top 10%
