customer_id,segment,region,acquisition_channel,total_revenue,recency_days,order_frequency,churn_probability,churn_risk,churned
CUST00003,B2C,Central,Paid Search,5258.46,99,0.12121212121212122,0.2969683938622088,Low Risk,1
CUST00004,B2C,West,Affiliate,12374.17,4,2.0,0.032466897205279455,Low Risk,0
CUST00005,B2C,South,Affiliate,3101.3599999999997,39,0.7692307692307692,0.0865127423695378,Low Risk,0
CUST00006,B2B,East,Direct,17987.96,375,0.14218009478672985,0.4258054765646213,Medium Risk,1
CUST00007,B2C,West,Social Media,46710.829999999994,24,0.6818181818181819,0.18013814259660604,Low Risk,0
CUST00008,B2C,North,Paid Search,17163.309999999998,86,0.33210332103321033,0.21039585150724444,Low Risk,0
CUST00009,B2C,West,Referral,33475.270000000004,205,0.22388059701492538,0.3289955559522628,Low Risk,1
CUST00010,B2B,East,Referral,24659.46,21,0.5263157894736842,0.16987961491044506,Low Risk,0
CUST00012,B2C,South,Affiliate,51275.62,87,0.25157232704402516,0.26949017768926414,Low Risk,0
CUST00013,B2C,West,Paid Search,25836.14,298,0.2830188679245283,0.4283875943602784,Medium Risk,0
CUST00014,B2B,West,Referral,26440.170000000002,90,0.29484029484029484,0.27587477442082314,Low Risk,1
CUST00015,B2C,Central,Referral,34741.37,191,0.30303030303030304,0.3388994202354912,Medium Risk,1
CUST00017,B2C,North,Paid Search,33955.21,21,0.1948051948051948,0.4564996382844628,Medium Risk,1
CUST00019,B2C,North,Direct,11582.03,39,0.7692307692307692,0.09348943074181162,Low Risk,0
CUST00020,B2C,West,Organic Search,7953.83,135,0.2,0.2040820964153981,Low Risk,0
CUST00021,Enterprise,Central,Affiliate,21742.260000000002,12,0.25806451612903225,0.2788286855235819,Low Risk,0
CUST00024,B2B,South,Organic Search,72359.75,75,0.4872389791183295,0.27391822950630734,Low Risk,0
CUST00025,B2B,Central,Paid Search,26323.739999999998,66,0.6122448979591837,0.13526302063501072,Low Risk,0
CUST00026,B2B,Central,Email,12902.95,20,1.0,0.09318656536273756,Low Risk,0
CUST00027,Enterprise,West,Referral,25177.66,89,0.1724137931034483,0.3045972676708172,Low Risk,0
CUST00028,B2C,South,Social Media,20333.23,18,1.4285714285714286,0.0649194245815749,Low Risk,0
CUST00029,B2C,South,Referral,12808.29,17,1.4285714285714286,0.06122060638148456,Low Risk,0
CUST00030,B2C,East,Paid Search,7953.790000000001,338,0.08875739644970414,0.21514674968488448,Low Risk,0
CUST00031,B2B,South,Direct,18846.54,81,0.6164383561643836,0.17848417803049593,Low Risk,0
CUST00032,B2C,West,Organic Search,12200.68,62,0.32345013477088946,0.28005804552330715,Low Risk,0
CUST00033,B2B,West,Organic Search,28387.69,92,0.3560830860534125,0.23209406955199724,Low Risk,0
CUST00035,B2C,West,Paid Search,8668.65,164,0.14729950900163666,0.369391000003825,Medium Risk,0
CUST00036,B2B,West,Affiliate,14469.59,6,0.9574468085106383,0.12352605351205981,Low Risk,1
CUST00038,B2B,South,Organic Search,17670.839999999997,25,0.234375,0.31270872863674987,Low Risk,0
CUST00039,B2C,West,Referral,28737.58,2,0.13921113689095127,0.5083526326149193,Medium Risk,1
CUST00041,B2C,North,Email,9039.49,45,1.6666666666666665,0.05452265364844517,Low Risk,0
CUST00042,B2B,North,Organic Search,9048.66,246,0.12195121951219513,0.23096687865988008,Low Risk,1
CUST00045,B2C,South,Social Media,17314.31,270,0.22167487684729065,0.24639009053223526,Low Risk,0
CUST00047,B2C,North,Paid Search,2779.35,122,0.24590163934426232,0.13522864916014707,Low Risk,0
CUST00048,B2B,North,Social Media,28094.55,175,0.28517110266159695,0.38084578187054363,Medium Risk,1
CUST00049,B2C,East,Affiliate,26420.72,68,0.8241758241758242,0.13565945608601418,Low Risk,0
CUST00050,Enterprise,East,Organic Search,21034.18,75,0.14563106796116507,0.4664448128253243,Medium Risk,0
CUST00051,B2C,Central,Social Media,18933.32,83,0.30848329048843187,0.27934031297584433,Low Risk,0
CUST00052,B2C,Central,Affiliate,10549.42,15,0.2448979591836735,0.22510637599289385,Low Risk,0
CUST00054,B2B,Central,Direct,37730.58,20,0.31446540880503143,0.3441613647317727,Medium Risk,1
CUST00056,B2C,North,Affiliate,35823.6,69,0.2631578947368421,0.38968424630208126,Medium Risk,0
CUST00057,B2C,North,Direct,888.16,511,0.05870841487279843,0.31832304683390394,Low Risk,0
CUST00059,B2B,West,Affiliate,28668.66,199,0.20689655172413793,0.5531971209809217,Medium Risk,1
CUST00060,B2B,West,Affiliate,52513.08,9,0.3658536585365854,0.3821353316216144,Medium Risk,0
CUST00061,B2C,East,Affiliate,21736.079999999998,220,0.3005008347245409,0.3420812496005367,Medium Risk,1
CUST00062,B2C,West,Affiliate,27777.329999999998,163,0.16129032258064516,0.3557691946501955,Medium Risk,0
CUST00063,B2C,West,Affiliate,20519.45,83,0.37735849056603776,0.26144202759320784,Low Risk,0
CUST00064,B2C,South,Social Media,31694.36,320,0.15113350125944586,0.37671016186747897,Medium Risk,0
CUST00068,B2C,East,Referral,18241.42,360,0.16483516483516483,0.24662446546700045,Low Risk,0
CUST00069,B2C,Central,Email,50505.12,10,0.5514705882352942,0.20652743271046878,Low Risk,0
CUST00071,B2B,West,Direct,9662.44,259,0.20785219399538105,0.3034797354182958,Low Risk,0
CUST00072,B2C,South,Affiliate,13093.48,139,0.36809815950920244,0.18098334607464406,Low Risk,0
CUST00074,B2B,South,Paid Search,29611.41,57,0.25,0.3865531515248047,Medium Risk,0
CUST00075,B2C,North,Referral,12436.529999999999,150,0.12875536480686695,0.3749039818778921,Medium Risk,1
CUST00076,B2C,South,Referral,34779.21,68,0.489795918367347,0.1947899023688044,Low Risk,0
CUST00077,B2C,Central,Direct,5656.46,108,0.3592814371257485,0.17811043758242523,Low Risk,0
CUST00078,Enterprise,Central,Direct,11420.119999999999,13,0.33519553072625696,0.14547421088919643,Low Risk,0
CUST00080,B2B,South,Social Media,37489.81,81,0.8633093525179856,0.12438783458176618,Low Risk,0
CUST00082,B2C,North,Paid Search,20184.28,15,0.46583850931677023,0.2165134011496513,Low Risk,0
CUST00083,B2C,North,Social Media,41438.2,69,0.2568493150684932,0.3881520010240882,Medium Risk,1
CUST00084,B2C,West,Affiliate,26582.85,161,0.44776119402985076,0.17924613809087683,Low Risk,0
CUST00085,B2C,West,Social Media,31592.41,161,0.17391304347826086,0.4397547078455026,Medium Risk,1
CUST00086,B2B,Central,Email,24776.98,17,0.3930131004366812,0.22442776540724557,Low Risk,0
CUST00087,B2C,West,Referral,16029.789999999999,57,0.6164383561643836,0.14029771552140696,Low Risk,0
CUST00088,Enterprise,South,Direct,23182.88,55,0.36585365853658536,0.2581029389546526,Low Risk,1
CUST00090,B2C,East,Social Media,11592.37,215,0.10256410256410256,0.33879931067352087,Medium Risk,1
CUST00091,B2B,East,Email,22927.62,94,0.234375,0.28328289882509516,Low Risk,0
CUST00092,B2C,South,Affiliate,4665.34,9,0.8955223880597015,0.09208587543093562,Low Risk,0
CUST00093,B2C,North,Paid Search,21636.02,24,0.21337126600284495,0.3977688243563103,Medium Risk,0
CUST00096,Enterprise,West,Paid Search,9142.85,22,0.351288056206089,0.2361493446854603,Low Risk,0
CUST00098,B2C,West,Organic Search,33000.64,368,0.18255578093306288,0.33783313960826633,Medium Risk,0
CUST00099,B2C,West,Social Media,37558.0,148,0.4152249134948097,0.19857352915645618,Low Risk,0
CUST00101,B2C,Central,Affiliate,20899.93,56,0.8,0.1300180820024923,Low Risk,0
CUST00102,B2B,South,Direct,18782.71,74,0.2643171806167401,0.3564125503448218,Medium Risk,0
CUST00103,B2B,West,Paid Search,12756.82,20,0.29850746268656714,0.21772155515330655,Low Risk,0
CUST00104,B2C,East,Direct,4958.889999999999,248,0.12096774193548386,0.2734970576145694,Low Risk,0
CUST00105,B2C,South,Referral,24210.02,13,1.7999999999999998,0.04654023036733362,Low Risk,0
CUST00107,B2C,West,Social Media,7041.01,20,0.11842105263157895,0.4745757680110932,Medium Risk,1
CUST00108,B2C,Central,Referral,7449.0199999999995,5,1.0,0.07121471473984992,Low Risk,1
CUST00109,B2C,East,Paid Search,23873.48,53,0.9230769230769231,0.1292724617883854,Low Risk,1
CUST00110,Enterprise,Central,Referral,38412.44,237,0.347682119205298,0.3216754472468749,Low Risk,1
CUST00112,B2C,East,Paid Search,16370.27,113,0.26373626373626374,0.26198554479224706,Low Risk,0
CUST00113,Enterprise,North,Direct,9187.46,34,1.2162162162162162,0.060740982842955475,Low Risk,0
CUST00114,B2B,North,Direct,14588.310000000001,61,0.39603960396039606,0.28666749202336,Low Risk,0
CUST00115,Enterprise,South,Social Media,27664.74,9,0.8490566037735849,0.1094204396918023,Low Risk,0
CUST00116,B2C,North,Referral,14020.039999999999,444,0.06756756756756756,0.2214505366482738,Low Risk,0
CUST00117,B2C,East,Paid Search,9010.689999999999,171,0.17543859649122806,0.18414348949024897,Low Risk,0
CUST00118,B2C,Central,Direct,8852.28,114,0.24193548387096772,0.28968137753672046,Low Risk,0
CUST00119,B2C,West,Direct,13155.289999999999,3,2.0689655172413794,0.03901232523225386,Low Risk,0
CUST00120,B2C,South,Organic Search,9868.720000000001,120,0.3870967741935484,0.1240488357134859,Low Risk,0
CUST00121,B2C,South,Email,20808.16,130,0.23166023166023167,0.3329701406140277,Medium Risk,1
CUST00122,B2C,South,Social Media,16906.71,32,0.9375,0.12808974736494347,Low Risk,0
CUST00123,B2B,East,Referral,1716.48,404,0.07425742574257425,0.23302625575925437,Low Risk,0
CUST00124,B2C,Central,Paid Search,33671.21,158,0.3523489932885906,0.36584363562503,Medium Risk,1
CUST00125,B2C,East,Affiliate,15724.07,215,0.17142857142857143,0.42531378545615567,Medium Risk,1
CUST00126,B2C,East,Social Media,2588.22,212,0.26548672566371684,0.18613514698794353,Low Risk,0
CUST00127,B2C,Central,Email,10006.54,51,0.48780487804878053,0.14311614735262077,Low Risk,0
CUST00129,B2C,Central,Affiliate,3450.24,130,0.23076923076923078,0.17775919617888572,Low Risk,1
CUST00130,B2C,East,Direct,1633.85,34,0.8823529411764706,0.08073192294274727,Low Risk,0
CUST00131,B2C,East,Social Media,3935.85,64,0.4109589041095891,0.18588012971225915,Low Risk,1
CUST00132,B2C,West,Email,42107.22,78,0.2975206611570248,0.3269568548722817,Low Risk,0
CUST00133,B2C,East,Affiliate,4391.29,45,0.3726708074534162,0.14906094070931483,Low Risk,0
CUST00134,B2C,West,Paid Search,10556.550000000001,143,0.2294455066921606,0.3622513443615706,Medium Risk,1
CUST00136,B2B,West,Email,58114.85,33,0.28391167192429023,0.44032685197714866,Medium Risk,1
CUST00138,Enterprise,West,Referral,5467.6,345,0.08771929824561403,0.3301358255817862,Medium Risk,0
CUST00139,B2B,West,Email,30331.980000000003,53,0.3480278422273782,0.3083434135747011,Low Risk,0
